Text,True Label ID,True Label,Predicted Label ID,Predicted Label
"det går en oks på fv lang vågevatnet, politi forsøk å komm i kontakt med eier.",9,Skadeverk,4,Ulykke
"kl.: fikk politi melding om slagsmål på et utested. en mann i -år var utsatt for vold. politi fikk, ett et kort søk i området, kontroll på en mann i -årene. -åring er pågrep og satt i arrest. -åring er kjørt dramm sykehus.",1,Trafikk,2,Brann
søk ett savn bærplukk i områd tuvatoppen/storskarfjellet. det har gjennom natt blitt søkt med stor ressurs ett en dam i årene. hun ble sist sett ca. kl. . i går kveld. politi ber turgåer i områd om å vær oppmerksom på hvem de møt i området.,7,Andre hendelser,1,Trafikk
"kl : - politi kontroller en personbil ført av en kvinn i årene. hun mistenk for kjøring i alkoholpåvirk tilstand. hun ble fremstilt for prøvetaking, fikk førerkort midlertid beslaglagt og blir anmeld for forholdet.",0,Innbrudd,4,Ulykke
"kl . politi har pågrep en person som hadd tatt seg inn i en bil, sannsynligvis i den hensikt å stjel den. kjør arrest og sak opprettes.",6,Voldshendelse,2,Brann
politi fikk melding klokk om båt som gikk på land i lav hast utenfor flesland. ukjent antall person ombord. redningsskøyt send mot stedet. hrs koordiner oppdraget.,11,Sjø,1,Trafikk
melding om arbeidsulykke. en person skal ha falt fra litt høyd und arbeid. våk og ved bevissthet. politi og ambulans på vei.,1,Trafikk,5,Ro og orden
kl. : en kvinn i åren er redd ut med bruk av redningshelikopter. kvinn er dement og hadd forvill seg i området. kvinn var med venninn på hyttetur da hun hadd forvill seg.,7,Andre hendelser,2,Brann
vedr. fallulykk ved svolværgeita. det er hrs som led redningsarbeid på stedet. grunn fler samtid hend har verk de ell vi anledning til å snakk med medi nå. person som har falt er bevisst og redning heli løft ut person nå.,7,Andre hendelser,1,Trafikk
"nødetat på vei til sammenstøt mellom to biler, trafikk går forbi i et felt. all involver er oppegående, ukjent skadegrad.",4,Ulykke,5,Ro og orden
politi båttjenest har stans båtfør som kjørt i berus tilstand. opprett sak.,1,Trafikk,4,Ulykke
nødetat rykk ut til berus mann som har vært i sjøen. tatt med av ambulans til legevakten. ikk tegn til andr person i sjøen. nødetat avslutt på sted nå.,7,Andre hendelser,5,Ro og orden
et kjøretøy skal ha trill ut i vann - uten at det var folk i bilen. nødetat rykk ut til sted - ing fremstår skadet. bil er tauet opp av vann igjen. politi gjør sin undersøk nå.,4,Ulykke,3,Tyveri
: melding fra en bebo som så at en mann tok ned og satt fyr på prid flagg som hang på flaggstang til ål kommunehus. gjerningsmann var bort da politi kom. et vitn som så hend ringt til politiet.,3,Tyveri,2,Brann
"politi er i lundeveg i bø ett melding om en bil som har kjørt inn i et bygg. det er ikk melding om skadd personer, og vi har kontakt med bileier. det er skad på vindu på et bygg. sak oppdater når vi vet mer.",4,Ulykke,3,Tyveri
kl : - nødetat er på vei til sted ett melding om lekkasj fra en tankbil innehold prosessvann. lokalt industrivern er på stedet. det er ikk meld om personskader. oppdater når nødetat er fremm på sted,5,Ro og orden,3,Tyveri
"kl . e vestgå på ved longum har det vært en bilstans, mul sykdomstilfelle. fremstår som det er noe nedsatt fremkomm nå. nødetat på vei. oppdateres.",4,Ulykke,5,Ro og orden
": melding om en person som drev å tagg på en container. gikk fra sted og tagg igj på en reklameplakat. politi har påtruff kar som hadd tagget, en år gammel gutt. han hadd fler tusj med seg. sak opprett og tusj beslaglagt.",1,Trafikk,2,Brann
kl : melding om mann som brøyt opp brusautomat ved herkules. vi har vært på stedet. brusautomat er ødelagt. vi har søkt i områd med fler patrulj uten å finn mistenkte. sak opprettet.,0,Innbrudd,2,Brann
denn melding har blitt trukket.,1,Trafikk,4,Ulykke
en mann i åren blir anmeld og bortvist fra butikk ett å ha stjål en kniv fra lokalene.,0,Innbrudd,2,Brann
en person anmeld for skadeverk ved å ha knust et vindu i en dør tilhør en bedrift. innbruddsalarm utløst. brannvesen rykk ut og påtraff vedkommende. politi til stedet. person hadd vært inn i bygget. han var rus og blødd fra fingrene. kjørt legevakten.,6,Voldshendelse,2,Brann
"melding om innbruddsalarm fra hovedbiblioteket. vekt og politi på stedet. ei rut inn til kafe er knust. tyd at det har vært folk inne, men forlatt. ing pågrepet.",6,Voldshendelse,2,Brann
politi er på sted ett melding om en bil som skal ha kjørt inn i en garasj ett først å ha truff en lyktestolpe. oppdateres.,4,Ulykke,5,Ro og orden
slåsskamp shell stjørdal. gjerningsperson har dratt fra sted før politi kom til stedet. fornærm har fått kul i hodet. oppdatering kommer.,12,Redning,2,Brann
nødetat rykk ut til melding om trafikkulykke. et kjøretøy som skal kjørt inn i et tre og land på taket. fler person involvert. skal ikk fremstå som alvor skadet. oppdateres.,4,Ulykke,5,Ro og orden
: melding om en stjål sykkel til verdi rund .kr. nabo hadd sett tyv og bidro med beskrivelse. tyv hadd satt igj en gammel sykkel da han tok den nye. patrulj forsto hvem dett var og oppsøkt mannen.,6,Voldshendelse,0,Innbrudd
politi er i kontakt med person som har satt fyr på gjenstand som medført mindr materiell skader. person satt seg opp mot politi på sted og anmeld for vold mot offent tjenestemann. person er pågrep og kjør til arresten. opprett sak.,12,Redning,2,Brann
kl : - e nordgå kjøreretning. politi er på sted ett melding om trafikkuhell mellom to vogntog. kun materiell skader. et kjørefelt sperret. hend er rett før avkjøring .,5,Ro og orden,4,Ulykke
"rv rolvsøyveien/dikevei , melding om singelulykk - personbil kjørt ut av veien og inn på en gårdsplass. det er person i bilen, fremstår uskadd. stor materiell skad på bilen. nødetat er på stedet.",5,Ro og orden,4,Ulykke
innbrudd/skadeverk på fler bil ved jan baalsrud plass. skjedd i løp av natten.,6,Voldshendelse,0,Innbrudd
nødetat rykk ut til en trafikkulykk på ringeriksvei ved skonarudkleiv mellom to kjøretøyer. oppdateres.,4,Ulykke,5,Ro og orden
kl. nødetat mott melding om alvor trafikkulykk på e. e sydgå ved skjeberg er sperr og vil bli stengt en stund framover. vi forsøk å oppdater her underveis.,4,Ulykke,5,Ro og orden
nødetat samt redningsskøyte/bannbåt er på vei ett melding om en person som skal ha falt ut av en kajakk og ligg i vannet. vedkomm har redningsvest. hrs koordinerer.,7,Andre hendelser,5,Ro og orden
kl : - politi observer en mann som forsøkt å overlever narkotika. mann i åren var i besitt av narkotik og blir anmeld for forholdet.,1,Trafikk,2,Brann
"fått melding om to hunder, trol jamthunder, som spring på e og på gangveg ved mæresmyra.",9,Skadeverk,4,Ulykke
politi har vært på en privatadress ett melding om en voldshendelse. en kvinn i åren og en mann i åren har vært involver i dette. det opprett en sak på forhold og mann part blir bortvist fra adressen. ing var alvor skadet.,12,Redning,2,Brann
mann pågrep ett å ha tatt seg inn i en bil og forsøkt å komm seg inn i andr biler. uavklart om noe er stjålet. sak opprettes.,0,Innbrudd,4,Ulykke
": - politi rykk ut ett melding om en trafikkulykk på semslinna. trafikk står still på stedet, og det anbefal å finn en ann kjørevei hvis mulig.",4,Ulykke,5,Ro og orden
mørkledd mann går retning årdalstangen. han har ikk refleks og er lit syn for andr trafikanter. kjør forsikt og vær oppmerksom på mann ! politi er på vei.,1,Trafikk,4,Ulykke
nødetat rykk ut ett melding om jordr på stedet. det er uvisst hvor stort ras er. melding oppdateres.,1,Trafikk,3,Tyveri
"politi har - i samarbeid med bilfirma, funn den stjåln bil fra i morges. vi foret undersøk av denn - og jobb med denn oppimot all forhold vi har jobb med på gulskog sid i morges.",1,Trafikk,0,Innbrudd
melding om trafikkulykk på e i grong. bil involvert. til samm person som ett sig skal vær ute av bilene. nødetat på tur til stedet.,4,Ulykke,5,Ro og orden
melding om trafikkulykk fylkesvei mogreina. mc før har truff en elg. all nødetat og viltnemnd er på vei.,4,Ulykke,5,Ro og orden
"politi er på vei til sted ett melding om utforkjøring. en personbil har kjørt ut av vegen. en person involvert, fremstår ikk som alvor skadet. oppdatteres.",4,Ulykke,5,Ro og orden
"kl : - fv - politi og ambulans har rykk ut til sted ett melding om en trafikkulykke. en mc har kjørt av veien i forbind med unnamanøver. mc fører, mann i åren er oppegående, men kjør til sykehus for ytterliger undersøkelser.",5,Ro og orden,4,Ulykke
"ei forholdsvis rol natt i distriktet. en mann pågrep i ålesund for brudd på ett besøksforbud. ell har det vært noen få ordensforstyrr i molde, kristiansund , volda, ørst og ålesund.",1,Trafikk,2,Brann
politi har kontroll på person på broen. blir overtatt av helse. veien åpen for fri ferdsel.,1,Trafikk,4,Ulykke
"kl. : ulykk ved tyns sentrum. et godstog har kjørt på en personbil ved overgang i tjønnbakken. skal ha vært person i bilen. ukjent skadegrad på diss pr. nå, men meld å vær bevisst og oppegående. nødetat er på stedet.",5,Ro og orden,4,Ulykke
kl - en person er pågrep ett å ha brutt besøks -/ kontaktforbud som ble ilagt mandag . oktober. person er innsatt i arrest i arendal.,1,Trafikk,2,Brann
trafikkuhell der to bil er involvert. ing personskade. et kjørefelt er stengt. bilberg til to bil er på vei. en del materiell skader. politi er på stedet.,5,Ro og orden,4,Ulykke
to sauer har falt ned i en septiktank. brann og politi til stedet. brannmannskap har fått sauen ut av tanken. politi har vært i kontakt med eier av tank og pålagt han å sikr denne.,9,Skadeverk,1,Trafikk
nødetat er i porsgrunn ett melding om person som har falt i vann i porsgrunnselva. oppdateres.,7,Andre hendelser,5,Ro og orden
"kl , tesl model s stjål fra p-plass. nøkl stod i tenningslåsen. bilei fikk spor bilen. kl stans politi bil på korskirkeallmeningen. fører, mann i -år pågrep av patruljen. anm for bilbrukstyveri, kjøring i påvirk tilstand mm.",0,Innbrudd,4,Ulykke
fler melding til politi om at del av taket/solcellepanel har blåst ned fra rådhusgat - handel hus. politi og brannves er på veg.,1,Trafikk,3,Tyveri
"kl :; politi har vært på sted ett melding om tyveri fra motorsykkel. eier ved motorsykkel, ikk tyveri. funn av narkotika. skilt på motorsykkel beslaglagt. eier av motorsykkel kjør til arresten.",1,Trafikk,4,Ulykke
"melding om en innbruddsalarm fra et apotek. vindu inn til apotek var knust og en person observer inn i apoteket. politi rykk ut fra sortland fikk kontroll på personen, som fortsatt var i apotek da patrulj ankom.",6,Voldshendelse,2,Brann
kl . politi har rykk ut til privat adress i vågsbygd. en person har blitt fraran sin vesk med innhold. ing er fysisk skadd. politi er på sted og gjennomfør avhør og sikr spor samtid som det søk ett gjerningspersonen.,12,Redning,1,Trafikk
trafikkuhell mellom personbil og person på el-sparkesykkel. sistnevnt er våken. nødetat på tur til stedet. oppdateres.,5,Ro og orden,4,Ulykke
kl. - melding om to bil som har kjørt i hverandr i en rundkjøring i sentrum. per nå ikk meld om personskade. politi er på sted og i kontakt med partene.,0,Innbrudd,4,Ulykke
"kollisjon på e trøngsla. bil involvert. ing fastklemte, all er ute av bil og oppegå . trafikk kan passer i ett felt. nødetat rykk og er straks på stedet. oppdateres.",4,Ulykke,5,Ro og orden
kl. : - melding om knivstukk person i voss sentrum. tilfeld forbipasser kom over ein mann med knivskad i magen. politi rykk ut med fleir patrulj og gjer no undersøking på staden. ing er pågrep for ugjerninga.,1,Trafikk,2,Brann
"nødetat er på sted i forbind med en bilbrann på e, nord for mosseporten, nordgå løp. mye kø på stedet. brann er slukket, bilberg er på vei.",5,Ro og orden,3,Tyveri
": nødetat på vei ett melding om utforkjøring, én bil involvert. skjedd lik vest for flå sentrum. trol ikk personskade. bil er ute av veien.",5,Ro og orden,4,Ulykke
politi rykk ut til trafikkulykk i lingelemveien. mc velt med person involvert. oppdateres.,5,Ro og orden,4,Ulykke
trafikkulykk på baksid ved sjoa. personbil har kjørt i grøft og inn i et tre. nødetat er på stedet. ukjent skadeomfang ift personskade. oppdater ved ny info.,4,Ulykke,5,Ro og orden
kl mann () innsett i drukkenskapsarrest ett å ha slått til andr og vor utagger på festival. ing alvor skadar. politi opprett sak.,1,Trafikk,2,Brann
"vekt på city lad fikk kontroll på en tyv. ved kontroll ble det funn en softgun på vedkommende. politi har nå overtatt mannen. han anmeld for våpenloven, tyveri fra butikk samt besitt av noe narkotika.",0,Innbrudd,2,Brann
"kl. , et tre har falt over en strømledning ved risørveien. dersom ledning ryk fall treet på veien. vts er varslet.",1,Trafikk,4,Ulykke
"oppsummer opptur: mye folk, god stemning, god kontroll. person bortvist fra stedet. tre av diss hadd mindr mengd narkotik på seg ved innpassering, to bortvist grunn ordensforstyrrelser.",10,Dyr,2,Brann
kl : - e - nødetat er på sted i forbind med en trafikkulykke. ens personbil har kjørt ut av veien. bil forsøkt i forkant av uhell å unndr seg kontroll fra politiet. person involvert. de kjør akuttmottak for undersøkelse.,5,Ro og orden,4,Ulykke
dei fir sjuåring som har vor sakn frå wild minn skul er nå komm til rette.,8,Savnet,7,Andre hendelser
: nødetat rykk ut til trafikkulykke. en bil har kjørt av veien. to person i bil som begg er oppegående.,5,Ro og orden,4,Ulykke
kl: : mann i åren ble pågrep sikt for vold i nær relasjoner. mann er transporter til arrest og politi i sør-øst har start etterforskning.,12,Redning,2,Brann
politi fikk tip om eldr granat som er funn i terreng på ågotnes. politi er på stedet. granat er vurder som ufar slik den ligger. politi vil vær på sted fram til forsvar hent granaten.,1,Trafikk,2,Brann
kl: : tollvesen stans en lastebil og en personbil og det var mistank om bruk av narkotika. det ble tatt blodprøv av lastebilsjåføren. to andr menn var i besitt av mindr mengd marihuana. all ble bøtelagt.,1,Trafikk,4,Ulykke
"politi oppfordr bilist til å ha ekstr oppmerksom utov dagen. det begynn og komm melding om trær som fall over vei, og dett kan komm brått på. avpass farten, spesielt på mindr og uoversikt strekninger.",4,Ulykke,1,Trafikk
up har hold hastighetskontroll. fører ble anmeld for hastighetsovertred og fikk førerkort beslaglagt. høyest hast var km/h i -sone.,0,Innbrudd,4,Ulykke
"på grunn av stort tils av publikum ifm agrisjå på frigård er det nå kø derfr og ut på e, helt ned til stjørdal sentrum. publikum oppfordr til å parker på innfartsparkering og ta shuttlebuss til frigården. se oversikt på agrisjå sin nettsider.",4,Ulykke,2,Brann
politi fått to melding om tjuveri frå to ulåst leilegheit i #strømgat og #hanstanksgate. tjuveri har skjedd i løp av natt til laurdag. stol divers person gjenstandar. pr no ukj gjerningspersonar.,6,Voldshendelse,0,Innbrudd
nødetat rykk ut ett melding om trafikkulykk i horgenveien. melding oppdateres.,4,Ulykke,5,Ro og orden
mld om en savn år gammel gutt fra visp badeplass. beskrivelse: har på seg en ros t-skjorte. nødetat er på vei samt redningshelikopt og dykker da det er uvisst om han er i vannet. dersom noen ser gutt ring .,8,Savnet,7,Andre hendelser
politi vært i kontakt med vekt på utested som skal ha blitt skall i ansikt av gjest. gjerningsperson er løpt fra stedet. skal mul vær gjenkjent av vitne. ing personskade. politi opprett sak.,1,Trafikk,2,Brann
båt har kantret. fler person i sjøen. det pågår livredd førstehjelp på stedet. nødetat på vei.,7,Andre hendelser,5,Ro og orden
"politi er på kjell ett melding om personbil som har velt i rundkjøring ved korten. to person involvert, begg er sjekk av ambulans og vurder til å vær uskadd. bilberg er på sted og trafikk går som normalt.",5,Ro og orden,4,Ulykke
: politi søk med fler ressurs ett en savn mann i -årene. politihelikopt er på vei og frivil er kalt ut. melding oppdater når politi har mer informasjon.,8,Savnet,1,Trafikk
kl : - politi og brannves er på vei til sted ett melding trafikkuhell. et vogntog har vært utenfor vegban og dratt med seg del av autovern på stedet. det skal vær trafikal utfordring på stedet.,5,Ro og orden,4,Ulykke
strømkabel falt over nedr rælingsveg i områd hektner. politi på sted og diriger trafikk i påvent av elvia.,4,Ulykke,5,Ro og orden
voldshend på privat adress i sentrum. patrulj er på sted og person er kjørt til legevakt av ambulanse. fremstår ikk som alvor personskade. politi etterforsk hendelsen.,12,Redning,2,Brann
nødetat rykk ut til trafikkulykk på tv ved tuv. en bil har kjørt av veien og truff en lyktestolpe. pr nu har vi ikk fler opplysninger. oppdater her når vi har mer info.,4,Ulykke,5,Ro og orden
kl : melding om menn som slåss med balltr og øks utenfor -. en kvinn skal også ha vært involvert. politi har nå kontroll på de tre.,1,Trafikk,2,Brann
kvinn i åren stjål divers privat eiendel fra sengepost. oppdag av vektere. patruklj er i kontakt med kvinnen. ing tilknytning til sykehuset.,0,Innbrudd,2,Brann
politi rykk ut til kalvskinn ett melding om person som forsøkt å ta seg inn i en contain på stedet. person forsvant lik etterpå med uforrett sak. politi kontroller nå en person som pass beskrivelsen.,0,Innbrudd,2,Brann
melding om påvirk person som har tatt seg inn i hytt til melder. hytt var ulåst og eier i området. mann forlot stedet. sannsynligvis samm person som var til sjenans for beboer på åro camping ett denn hendelsen.,2,Brann,1,Trafikk
"en mann i -år blir innbrakt til arrest ett å ha stjål øl, og knust ei ølflask på en butikk på øya.",0,Innbrudd,2,Brann
"politi har hatt promillekontroll i foldavegen. her ble det kontroller førere, ing reaksjoner.",2,Brann,4,Ulykke
politibåt har kontroller fører av fritidsbåter. alt funn ok.,11,Sjø,4,Ulykke
politi fikk melding om en person som utført innbrudd/tyveri fra områd tømmerkaia. ved vår ankomst påtraff vi en lokal kjenning i -årene. bra observasjon og bidrag fra innringer. person ble pågrep pga gjentakelsesfar - fremsto rus - kjørt arrest.,0,Innbrudd,2,Brann
kl. : politi har vært på sted ett melding om ulykk med en gravemaskin som hadd kjørt av veien og veltet. før er frakt til sykehus. politi har gjort undersøk på sted og opprett sak.,5,Ro og orden,4,Ulykke
politi rykk ut til melding og verbal krangel mellom fler personer. skal ha eskaler og vært en voldshend på stedet. uavklart situasjon. oppdateres.,12,Redning,2,Brann
"kl , person nekt å oppgi navn til patrulje. innbring til arrest og anmeld for ikk å ha oppgitt personali til politiet.",1,Trafikk,2,Brann
kl. . melding om påkjørt elg på fv frolandsveien. ikk personskade. materiell skad på bil. uvisst om elg ble skadet. viltnemnd varslet.,9,Skadeverk,4,Ulykke
"meld om røykutvikling frå brems på vogntog, ikkj vor opn flamm med ein del røyk. brannves og politi på veg, tunnel er stengd. ikkj meld om personskadar.",4,Ulykke,3,Tyveri
kl. : politi har pågrep en mann i åren som er sikt for bilbrukstyveri fra kragerø natt til igår. bil er ikk funnet. mann innsett i arrest og vil avhør om forholdet.,0,Innbrudd,2,Brann
stat naturoppsyn og politi har gjennomført samarbeidskontroll med tank på motorferdsel i utmark. oppsyn rana- saltdal-fausk og misvær. ing reaksjoner. tommel opp.,1,Trafikk,4,Ulykke
"for andr gong på und eit døgn er me på florvåg skul ett melding om skadeverk, mellom ann knust ruter. me har kontroll på nokr mindreår gut og vil snakk med føresette. også varsl representant for skulen.",1,Trafikk,2,Brann
"kl. : en mann, år gammel blir anmeld for å ha stjål bankterminal fra en pub i sentrum. mann forsøkt å stjel denn ved å gjemm den i bukselinningen. terminal er nå tilbak og mann er blitt utestengt fra utested i , år.",0,Innbrudd,2,Brann
"kl fikk politi melding om to person som var masker og truet to beboer med forment kniv. ing ble skadet, frastjål mobiler. politi har tatt avhør av de to fornærmede, søkt ett gjerningsperson uten å funn disse. sak er anmeldt.",1,Trafikk,2,Brann
kl . politi har mottatt melding om at en seilbåt skal ha dratt ned en høyspentledning i bjørnevågen. det er så langt ikk bekreft om det er husstand som er ramm av strømbrudd grunn dette.,1,Trafikk,3,Tyveri
politi har rykk ut til kryss sanviksveg / blåbærsti ett melding om syklist som har veltet. oppdateres.,5,Ro og orden,4,Ulykke
det har i løp av natt har blitt stjål fler sykl fra en fell sykkelgarasje. den ene er en el-sykkel til en verdi på ca kr. tyv har klipp av en lås for å ta seg inn på stedet.,6,Voldshendelse,0,Innbrudd
kl: : mann i åren ble pågrep sikt for å ha truet en ann mann med kniv kort forut. pågrepn ble kjørt til arrest og sak anmeldt.,12,Redning,2,Brann
melding om amp stemning ved et utested på solsiden. politi rykk ut til stedet.,12,Redning,2,Brann
i løp av natt har det blitt gjort skadeverk ved å knus et vindu på en skol i skolegata.,2,Brann,6,Voldshendelse
"det har vært en ulykk i bø sommarland. en år gammel gutt falt ut av renn i bunn av attraksjon ""magasuget"". politi har stengt attraksjon inntil inspeksjon og etterforskning er utført. park vil vær åpen for øvr i morgen.",5,Ro og orden,1,Trafikk
"kl , meld oppdag ukjent mann som lå og sov i leiligheten. patrulj har snakk med vedkommende. berus og gått inn i et tilfeld hus. kjørt hjem til rikt hus av politiet.",1,Trafikk,2,Brann
": en mann i åren fra vestfold fikk behov for hjelp for komm ned fra fjellet. politi var i kontakt med han, og patrulj som er godt kjent i områd bisto med å få han ned fra fjellet. han var i god behold da han kom til rette.",7,Andre hendelser,2,Brann
"arbeidsulykk - sprengningsfeil. i forbind med grunnarbeid har en sprengning medført skad på bolighus og en anleggsmaskin, i umiddelb nærhet. politi er på sted og etterforsk hendelsen.",1,Trafikk,3,Tyveri
en person er blitt slått av en forbipasser uten at det har vært noen foranledning. fornærm kjør til legevakt med lit kutt. gjerningsperson hadd forsvunn før politi ankom stedet. politi opprett sak.,12,Redning,2,Brann
melding om hydrogenlekkasj på ntnu. brannvesen fikk melding kl og er fremm på stedet. evakuering er iverksatt av nærligg bygg. oppdateres.,5,Ro og orden,3,Tyveri
all nødetat på vei til kråkerøyvei ved lundeskogen. melding om singelulykke. oppdateres.,5,Ro og orden,4,Ulykke
politi fikk ca. kl. i natt melding om at det skull ha vært en eksplosjon ved et inngangsparti til et bolighus i drøbak. politi driv taktisk og teknisk etterforskning på stedet. ing person er skadd. politi vil komm med mer info sener i dag.,13,Arrangement,1,Trafikk
"kl , observasjon av lys i sjøen ca - m ut i vågen. brannbåt send mot sted og fant to utenlandsk turist i en lit gummibåt. de fisk og var ikk i nød. begg hadd hodelykt m/blink lys.",7,Andre hendelser,1,Trafikk
kl : - politi har vært på en byggeplass og gjennomført åstedsundersøk ett melding om at det i løp av helg har vært innbrudd på stedet. det skal ha blitt stjål håndverktøy og en tilheng fra stedet. politi ferd på sted og opprett sak,6,Voldshendelse,0,Innbrudd
nødetat rykk akkurat ut - ett melding om at en driv båt med motor i gang drev nedov elva. mannskap fra brannvesen har fått kontroll på båt - motor var ikk i gang. den tilhør firm som bygg ny bru. aksjon er avblåst.,7,Andre hendelser,3,Tyveri
patrulj rykk ut til restaurant i sentrum hvor det ble meld om en pågå voldshendelse. patrulj har nå kontroll på situasjon og undersøk omstendighetene. oppdateres.,12,Redning,2,Brann
: melding om trafikkulykke. før mistenk for promillekjøring. han ble kjørt til sykehus for sjekk. fremstår ikk alvor skadet. dett er en utforkjøring i en sving og det mistenk høy fart. sak opprettet.,5,Ro og orden,4,Ulykke
"ambulans og politi har vært på en arbeidsulykk som skjedd ved -tiden. en person har fått noen plat over beinet, som da har komm i klem. den skadde, ei lokal dam i -år ble kjørt sykehus med letter skader. politi har opprett sak.",1,Trafikk,5,Ro og orden
kl. melding om jordr over e- omtrent på kommunegrens mellom stjørdal og meråker. meld inn til oss anslår en bredd på ca meter. vts er varsl - ing hus i nær - ikk melding om at noen er tatt av raset.,4,Ulykke,1,Trafikk
"i forbind med uhellet, er det også denn gang en bilfør som film med mobiltelefon men han passerer. før er en mann i årene. han valgt å slett film fra tlf da han ble konfronter med forhold og ment at da var det ikk så galt lenger...",4,Ulykke,1,Trafikk
"fler melding om en gris i og rund rundkjøring ved shell brumunddal og nesvegen. en patrulj fra politi fikk tak i dyret. gris er nå låst inn på en adress i nærheten, men vi forsøk å lokaliser eier. ikk meld om trafikaleutfordringer.",9,Skadeverk,1,Trafikk
denn melding har blitt trukket.,0,Innbrudd,4,Ulykke
melding om trafikkuhell og påfølg slåssing ved bruhod på tromsøbrua. ukjent hendelsesforløp. ing trafikal hindring lenger. politi i kontakt med begg part og gjør nødvend undersøker.,4,Ulykke,5,Ro og orden
tom cato som ble meld sakn fra fantoft tidligar er nå funn i god behald. politi takk publikum for god bistand.,8,Savnet,0,Innbrudd
"bilbrann på en parkeringsplass i nær av rundkjøring på krøgenes, nødetat er på stedet, brannvesen har start slukking.",4,Ulykke,3,Tyveri
"kl. . melding om en mann som rop på hjelp i suldalen. politi har vært på stedet. hjulp mannen, som hadd gått seg fast i bratt terreng, og gitt ham skyss til bedr egn sted å gå.",1,Trafikk,2,Brann
kl . politi har rykk ut til adress ved alle der en person med kniv har fremsatt trusl om å skad seg selv. det har ikk vært trusl mot noen andre. politi er i søk ett aktuell person.,1,Trafikk,2,Brann
politi har pågrep dam i -år som kan knytt til fler innbrudd i området. politi oppfordr person som evt. har hatt innbrudd ell tyveri fra eiendom om å ring politi på . sak vil bli opprett på vegn av de berørte.,6,Voldshendelse,0,Innbrudd
: melding om brann i bil. står midt i veien på rv litt syd for stavn. trafikal utfordring på stedet. begg kjøreretning er sperret. nødetat er på vei.,3,Tyveri,4,Ulykke
en mann har blitt slått ned. han har vært bevisstløs og blir frakt til sykehus. politi er på sted og har pågrep to menn som mistenk for volden.,12,Redning,2,Brann
"melding om trafikkulykk i kveliveien, lierne. ens bil som har kjørt ut. nødetat på vei til stedet.",5,Ro og orden,4,Ulykke
nødetat rykk ut ett melding om trafikkulykke. en scoot har kjørt inn i en hekk og veltet. melding oppdateres.,4,Ulykke,5,Ro og orden
denn melding har blitt trukket.,5,Ro og orden,4,Ulykke
i løp av helg har det blitt borttatt verktøy fra bol und oppføring i et nabolag i årnes. patrulj gjennomført åstedsundersøk og opprett sak.,0,Innbrudd,6,Voldshendelse
kl - ein mann i åra og ein mann i åra er begg satt i arrest ett at dei vart gripn på fersk gjerning und eit innbrot og tjuveri frå ei leilegheit i molde. det vert opprett straffesak.,6,Voldshendelse,2,Brann
nødetat rykk ut til en trafikkulykk - ens bil som har kjørt ut av vegbanen. to person i bilen. oppdateres.,5,Ro og orden,4,Ulykke
"rv rolvsøyveien/stabburveien, trafikkulykk i rundkjøringen. mc kjørt inn i sid på en bil. mc før våken, med smert i nakk og fot. kjør sykehus for vider oppfølging. ing trafikal problem på stedet. politi opprett sak.",5,Ro og orden,4,Ulykke
denn melding har blitt trukket.,2,Brann,4,Ulykke
